# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         10.770
 8.7857      0.032         13.501
 8.7143      0.038         16.186
 8.6429      0.045         18.819
 8.5714      0.051         21.387
 8.5000      0.057         23.877
 8.4286      0.063         26.267
 8.3571      0.069         28.529
 8.2857      0.075         30.613
 8.2143      0.082         32.434
 8.1429      0.088         33.819
 8.0714      0.094         34.290
 8.0000      0.100         30.000
