# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.165
 8.8571      0.026         11.126
 8.7857      0.032         14.048
 8.7143      0.038         16.924
 8.6429      0.045         19.746
 8.5714      0.051         22.501
 8.5000      0.057         25.177
 8.4286      0.063         27.750
 8.3571      0.069         30.190
 8.2857      0.075         32.446
 8.2143      0.082         34.429
 8.1429      0.088         35.954
 8.0714      0.094         36.507
 8.0000      0.100         31.412
