# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.870
 8.8571      0.026         11.707
 8.7857      0.032         14.503
 8.7143      0.038         17.252
 8.6429      0.045         19.946
 8.5714      0.051         22.573
 8.5000      0.057         25.120
 8.4286      0.063         27.564
 8.3571      0.069         29.873
 8.2857      0.075         31.999
 8.2143      0.082         33.853
 8.1429      0.088         35.255
 8.0714      0.094         35.714
 8.0000      0.100         31.426
