# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.826
 8.8571      0.026         15.617
 8.7857      0.032         19.365
 8.7143      0.038         23.063
 8.6429      0.045         26.699
 8.5714      0.051         30.263
 8.5000      0.057         33.736
 8.4286      0.063         37.094
 8.3571      0.069         40.299
 8.2857      0.075         43.291
 8.2143      0.082         45.963
 8.1429      0.088         48.085
 8.0714      0.094         48.994
 8.0000      0.100         40.540
