# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.627
 8.8571      0.026          8.952
 8.7857      0.032         10.254
 8.7143      0.038         11.529
 8.6429      0.045         12.772
 8.5714      0.051         13.976
 8.5000      0.057         15.134
 8.4286      0.063         16.235
 8.3571      0.069         17.263
 8.2857      0.075         18.193
 8.2143      0.082         18.984
 8.1429      0.088         19.560
 8.0714      0.094         19.743
 8.0000      0.100         18.862
