# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.899
 8.8571      0.026         10.321
 8.7857      0.032         12.709
 8.7143      0.038         15.056
 8.6429      0.045         17.356
 8.5714      0.051         19.599
 8.5000      0.057         21.773
 8.4286      0.063         23.858
 8.3571      0.069         25.828
 8.2857      0.075         27.640
 8.2143      0.082         29.218
 8.1429      0.088         30.409
 8.0714      0.094         30.790
 8.0000      0.100         27.169
