# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.220
 8.8571      0.026         14.898
 8.7857      0.032         18.531
 8.7143      0.038         22.110
 8.6429      0.045         25.627
 8.5714      0.051         29.067
 8.5000      0.057         32.414
 8.4286      0.063         35.642
 8.3571      0.069         38.713
 8.2857      0.075         41.566
 8.2143      0.082         44.092
 8.1429      0.088         46.064
 8.0714      0.094         46.831
 8.0000      0.100         39.507
