# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.956
 8.8571      0.026          9.308
 8.7857      0.032         10.636
 8.7143      0.038         11.938
 8.6429      0.045         13.208
 8.5714      0.051         14.441
 8.5000      0.057         15.627
 8.4286      0.063         16.756
 8.3571      0.069         17.811
 8.2857      0.075         18.766
 8.2143      0.082         19.578
 8.1429      0.088         20.163
 8.0714      0.094         20.322
 8.0000      0.100         19.207
