# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.669
 8.8571      0.026          9.002
 8.7857      0.032         10.312
 8.7143      0.038         11.596
 8.6429      0.045         12.848
 8.5714      0.051         14.063
 8.5000      0.057         15.232
 8.4286      0.063         16.344
 8.3571      0.069         17.384
 8.2857      0.075         18.325
 8.2143      0.082         19.126
 8.1429      0.088         19.705
 8.0714      0.094         19.866
 8.0000      0.100         18.795
