# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.005
 8.8571      0.026         10.612
 8.7857      0.032         13.183
 8.7143      0.038         15.711
 8.6429      0.045         18.190
 8.5714      0.051         20.609
 8.5000      0.057         22.954
 8.4286      0.063         25.206
 8.3571      0.069         27.337
 8.2857      0.075         29.300
 8.2143      0.082         31.016
 8.1429      0.088         32.320
 8.0714      0.094         32.756
 8.0000      0.100         28.642
