# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.366
 8.8571      0.026         11.685
 8.7857      0.032         13.967
 8.7143      0.038         16.209
 8.6429      0.045         18.402
 8.5714      0.051         20.536
 8.5000      0.057         22.599
 8.4286      0.063         24.573
 8.3571      0.069         26.430
 8.2857      0.075         28.127
 8.2143      0.082         29.591
 8.1429      0.088         30.672
 8.0714      0.094         30.976
 8.0000      0.100         28.099
