# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.475
 8.8571      0.026         11.445
 8.7857      0.032         14.377
 8.7143      0.038         17.266
 8.6429      0.045         20.105
 8.5714      0.051         22.882
 8.5000      0.057         25.584
 8.4286      0.063         28.189
 8.3571      0.069         30.668
 8.2857      0.075         32.972
 8.2143      0.082         35.013
 8.1429      0.088         36.609
 8.0714      0.094         37.239
 8.0000      0.100         31.343
