# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.994
 8.8571      0.026         11.976
 8.7857      0.032         15.911
 8.7143      0.038         19.790
 8.6429      0.045         23.602
 8.5714      0.051         27.335
 8.5000      0.057         30.970
 8.4286      0.063         34.481
 8.3571      0.069         37.828
 8.2857      0.075         40.949
 8.2143      0.082         43.733
 8.1429      0.088         45.947
 8.0714      0.094         46.926
 8.0000      0.100         38.639
