# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.098
 8.8571      0.026         10.970
 8.7857      0.032         13.802
 8.7143      0.038         16.588
 8.6429      0.045         19.318
 8.5714      0.051         21.982
 8.5000      0.057         24.565
 8.4286      0.063         27.046
 8.3571      0.069         29.393
 8.2857      0.075         31.556
 8.2143      0.082         33.448
 8.1429      0.088         34.889
 8.0714      0.094         35.384
 8.0000      0.100         30.909
