# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.215
 8.8571      0.026         14.357
 8.7857      0.032         17.462
 8.7143      0.038         20.524
 8.6429      0.045         23.535
 8.5714      0.051         26.484
 8.5000      0.057         29.356
 8.4286      0.063         32.131
 8.3571      0.069         34.777
 8.2857      0.075         37.243
 8.2143      0.082         39.436
 8.1429      0.088         41.163
 8.0714      0.094         41.863
 8.0000      0.100         35.049
