# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.025
 8.8571      0.026          7.690
 8.7857      0.032          9.336
 8.7143      0.038         10.957
 8.6429      0.045         12.551
 8.5714      0.051         14.111
 8.5000      0.057         15.628
 8.4286      0.063         17.092
 8.3571      0.069         18.485
 8.2857      0.075         19.779
 8.2143      0.082         20.925
 8.1429      0.088         21.818
 8.0714      0.094         22.158
 8.0000      0.100         18.760
