# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.049
 8.8571      0.026         11.003
 8.7857      0.032         13.918
 8.7143      0.038         16.786
 8.6429      0.045         19.600
 8.5714      0.051         22.349
 8.5000      0.057         25.018
 8.4286      0.063         27.586
 8.3571      0.069         30.020
 8.2857      0.075         32.272
 8.2143      0.082         34.252
 8.1429      0.088         35.776
 8.0714      0.094         36.332
 8.0000      0.100         31.227
