# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.967
 8.8571      0.026         10.440
 8.7857      0.032         12.879
 8.7143      0.038         15.277
 8.6429      0.045         17.627
 8.5714      0.051         19.920
 8.5000      0.057         22.141
 8.4286      0.063         24.274
 8.3571      0.069         26.290
 8.2857      0.075         28.146
 8.2143      0.082         29.765
 8.1429      0.088         30.989
 8.0714      0.094         31.387
 8.0000      0.100         27.589
