# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.367
 8.8571      0.026         10.034
 8.7857      0.032         11.675
 8.7143      0.038         13.286
 8.6429      0.045         14.862
 8.5714      0.051         16.395
 8.5000      0.057         17.877
 8.4286      0.063         19.293
 8.3571      0.069         20.624
 8.2857      0.075         21.837
 8.2143      0.082         22.880
 8.1429      0.088         23.640
 8.0714      0.094         23.830
 8.0000      0.100         21.777
