# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.788
 8.8571      0.026         11.406
 8.7857      0.032         15.968
 8.7143      0.038         20.468
 8.6429      0.045         24.891
 8.5714      0.051         29.225
 8.5000      0.057         33.446
 8.4286      0.063         37.528
 8.3571      0.069         41.424
 8.2857      0.075         45.065
 8.2143      0.082         48.327
 8.1429      0.088         50.949
 8.0714      0.094         52.191
 8.0000      0.100         42.342
