# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.133
 8.8571      0.026         13.203
 8.7857      0.032         17.223
 8.7143      0.038         21.185
 8.6429      0.045         25.078
 8.5714      0.051         28.889
 8.5000      0.057         32.597
 8.4286      0.063         36.176
 8.3571      0.069         39.585
 8.2857      0.075         42.759
 8.2143      0.082         45.581
 8.1429      0.088         47.810
 8.0714      0.094         48.755
 8.0000      0.100         40.523
