# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.867
 8.8571      0.026         10.178
 8.7857      0.032         12.455
 8.7143      0.038         14.694
 8.6429      0.045         16.887
 8.5714      0.051         19.025
 8.5000      0.057         21.095
 8.4286      0.063         23.080
 8.3571      0.069         24.955
 8.2857      0.075         26.676
 8.2143      0.082         28.173
 8.1429      0.088         29.297
 8.0714      0.094         29.647
 8.0000      0.100         26.304
