# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.996
 8.8571      0.026         10.820
 8.7857      0.032         13.606
 8.7143      0.038         16.348
 8.6429      0.045         19.037
 8.5714      0.051         21.662
 8.5000      0.057         24.210
 8.4286      0.063         26.660
 8.3571      0.069         28.981
 8.2857      0.075         31.125
 8.2143      0.082         33.006
 8.1429      0.088         34.447
 8.0714      0.094         34.958
 8.0000      0.100         30.229
