# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.555
 8.8571      0.026         11.778
 8.7857      0.032         14.959
 8.7143      0.038         18.090
 8.6429      0.045         21.164
 8.5714      0.051         24.167
 8.5000      0.057         27.084
 8.4286      0.063         29.892
 8.3571      0.069         32.557
 8.2857      0.075         35.025
 8.2143      0.082         37.200
 8.1429      0.088         38.882
 8.0714      0.094         39.513
 8.0000      0.100         33.748
