# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.734
 8.8571      0.026         12.640
 8.7857      0.032         16.493
 8.7143      0.038         20.285
 8.6429      0.045         24.005
 8.5714      0.051         27.639
 8.5000      0.057         31.166
 8.4286      0.063         34.561
 8.3571      0.069         37.780
 8.2857      0.075         40.760
 8.2143      0.082         43.385
 8.1429      0.088         45.418
 8.0714      0.094         46.199
 8.0000      0.100         39.555
