# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.858
 8.8571      0.026          9.500
 8.7857      0.032         11.115
 8.7143      0.038         12.700
 8.6429      0.045         14.248
 8.5714      0.051         15.753
 8.5000      0.057         17.204
 8.4286      0.063         18.590
 8.3571      0.069         19.889
 8.2857      0.075         21.071
 8.2143      0.082         22.084
 8.1429      0.088         22.821
 8.0714      0.094         23.017
 8.0000      0.100         21.297
