# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.264
 8.8571      0.026         11.705
 8.7857      0.032         15.102
 8.7143      0.038         18.449
 8.6429      0.045         21.736
 8.5714      0.051         24.950
 8.5000      0.057         28.076
 8.4286      0.063         31.089
 8.3571      0.069         33.955
 8.2857      0.075         36.616
 8.2143      0.082         38.973
 8.1429      0.088         40.818
 8.0714      0.094         41.559
 8.0000      0.100         34.968
