# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.698
 8.8571      0.026         10.786
 8.7857      0.032         13.834
 8.7143      0.038         16.835
 8.6429      0.045         19.780
 8.5714      0.051         22.659
 8.5000      0.057         25.457
 8.4286      0.063         28.150
 8.3571      0.069         30.708
 8.2857      0.075         33.079
 8.2143      0.082         35.172
 8.1429      0.088         36.797
 8.0714      0.094         37.423
 8.0000      0.100         31.816
