# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.967
 8.8571      0.026         10.660
 8.7857      0.032         13.318
 8.7143      0.038         15.935
 8.6429      0.045         18.502
 8.5714      0.051         21.010
 8.5000      0.057         23.444
 8.4286      0.063         25.787
 8.3571      0.069         28.008
 8.2857      0.075         30.062
 8.2143      0.082         31.867
 8.1429      0.088         33.254
 8.0714      0.094         33.750
 8.0000      0.100         29.041
