# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.009
 8.8571      0.026         10.717
 8.7857      0.032         13.389
 8.7143      0.038         16.017
 8.6429      0.045         18.594
 8.5714      0.051         21.109
 8.5000      0.057         23.549
 8.4286      0.063         25.893
 8.3571      0.069         28.112
 8.2857      0.075         30.160
 8.2143      0.082         31.953
 8.1429      0.088         33.321
 8.0714      0.094         33.791
 8.0000      0.100         29.388
