# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.848
 8.8571      0.026         10.393
 8.7857      0.032         12.903
 8.7143      0.038         15.370
 8.6429      0.045         17.788
 8.5714      0.051         20.148
 8.5000      0.057         22.435
 8.4286      0.063         24.630
 8.3571      0.069         26.706
 8.2857      0.075         28.618
 8.2143      0.082         30.287
 8.1429      0.088         31.553
 8.0714      0.094         31.972
 8.0000      0.100         28.043
