# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.010
 8.8571      0.026         11.002
 8.7857      0.032         13.955
 8.7143      0.038         16.861
 8.6429      0.045         19.712
 8.5714      0.051         22.497
 8.5000      0.057         25.201
 8.4286      0.063         27.802
 8.3571      0.069         30.269
 8.2857      0.075         32.550
 8.2143      0.082         34.557
 8.1429      0.088         36.103
 8.0714      0.094         36.670
 8.0000      0.100         31.500
