# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.176
 8.8571      0.026         11.746
 8.7857      0.032         15.272
 8.7143      0.038         18.745
 8.6429      0.045         22.156
 8.5714      0.051         25.493
 8.5000      0.057         28.737
 8.4286      0.063         31.866
 8.3571      0.069         34.842
 8.2857      0.075         37.607
 8.2143      0.082         40.059
 8.1429      0.088         41.982
 8.0714      0.094         42.767
 8.0000      0.100         35.883
