# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.378
 8.8571      0.026         12.314
 8.7857      0.032         16.203
 8.7143      0.038         20.038
 8.6429      0.045         23.810
 8.5714      0.051         27.504
 8.5000      0.057         31.103
 8.4286      0.063         34.582
 8.3571      0.069         37.902
 8.2857      0.075         41.001
 8.2143      0.082         43.771
 8.1429      0.088         45.981
 8.0714      0.094         46.973
 8.0000      0.100         38.482
