# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.337
 8.8571      0.026         11.509
 8.7857      0.032         12.657
 8.7143      0.038         13.779
 8.6429      0.045         14.869
 8.5714      0.051         15.923
 8.5000      0.057         16.932
 8.4286      0.063         17.889
 8.3571      0.069         18.778
 8.2857      0.075         19.579
 8.2143      0.082         20.262
 8.1429      0.088         20.769
 8.0714      0.094         20.991
 8.0000      0.100         20.629
