# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.909
 8.8571      0.026          9.531
 8.7857      0.032         11.127
 8.7143      0.038         12.693
 8.6429      0.045         14.222
 8.5714      0.051         15.709
 8.5000      0.057         17.143
 8.4286      0.063         18.510
 8.3571      0.069         19.793
 8.2857      0.075         20.959
 8.2143      0.082         21.957
 8.1429      0.088         22.683
 8.0714      0.094         22.876
 8.0000      0.100         21.208
