# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.210
 8.8571      0.026          8.907
 8.7857      0.032         10.581
 8.7143      0.038         12.228
 8.6429      0.045         13.841
 8.5714      0.051         15.416
 8.5000      0.057         16.942
 8.4286      0.063         18.407
 8.3571      0.069         19.792
 8.2857      0.075         21.065
 8.2143      0.082         22.174
 8.1429      0.088         23.005
 8.0714      0.094         23.251
 8.0000      0.100         20.534
