# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.649
 8.8571      0.026          9.221
 8.7857      0.032         10.771
 8.7143      0.038         12.295
 8.6429      0.045         13.788
 8.5714      0.051         15.245
 8.5000      0.057         16.656
 8.4286      0.063         18.009
 8.3571      0.069         19.287
 8.2857      0.075         20.460
 8.2143      0.082         21.478
 8.1429      0.088         22.234
 8.0714      0.094         22.440
 8.0000      0.100         19.993
