# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.959
 8.8571      0.026          8.554
 8.7857      0.032         10.123
 8.7143      0.038         11.663
 8.6429      0.045         13.169
 8.5714      0.051         14.634
 8.5000      0.057         16.048
 8.4286      0.063         17.399
 8.3571      0.069         18.668
 8.2857      0.075         19.825
 8.2143      0.082         20.819
 8.1429      0.088         21.548
 8.0714      0.094         21.747
 8.0000      0.100         19.943
