# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.658
 8.8571      0.026         10.679
 8.7857      0.032         13.661
 8.7143      0.038         16.596
 8.6429      0.045         19.478
 8.5714      0.051         22.293
 8.5000      0.057         25.028
 8.4286      0.063         27.662
 8.3571      0.069         30.162
 8.2857      0.075         32.478
 8.2143      0.082         34.520
 8.1429      0.088         36.103
 8.0714      0.094         36.706
 8.0000      0.100         31.283
