# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.437
 8.8571      0.026         11.568
 8.7857      0.032         14.658
 8.7143      0.038         17.701
 8.6429      0.045         20.686
 8.5714      0.051         23.604
 8.5000      0.057         26.438
 8.4286      0.063         29.167
 8.3571      0.069         31.757
 8.2857      0.075         34.155
 8.2143      0.082         36.268
 8.1429      0.088         37.903
 8.0714      0.094         38.514
 8.0000      0.100         32.892
