# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.396
 8.8571      0.026         16.052
 8.7857      0.032         19.663
 8.7143      0.038         23.220
 8.6429      0.045         26.715
 8.5714      0.051         30.133
 8.5000      0.057         33.458
 8.4286      0.063         36.663
 8.3571      0.069         39.711
 8.2857      0.075         42.540
 8.2143      0.082         45.040
 8.1429      0.088         46.982
 8.0714      0.094         47.711
 8.0000      0.100         40.498
