# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.589
 8.8571      0.026          8.932
 8.7857      0.032         10.252
 8.7143      0.038         11.546
 8.6429      0.045         12.807
 8.5714      0.051         14.031
 8.5000      0.057         15.209
 8.4286      0.063         16.330
 8.3571      0.069         17.378
 8.2857      0.075         18.327
 8.2143      0.082         19.134
 8.1429      0.088         19.718
 8.0714      0.094         19.883
 8.0000      0.100         18.807
