# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.070
 8.8571      0.026         11.012
 8.7857      0.032         13.914
 8.7143      0.038         16.772
 8.6429      0.045         19.575
 8.5714      0.051         22.314
 8.5000      0.057         24.973
 8.4286      0.063         27.531
 8.3571      0.069         29.958
 8.2857      0.075         32.203
 8.2143      0.082         34.178
 8.1429      0.088         35.700
 8.0714      0.094         36.257
 8.0000      0.100         31.119
