# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.221
 8.8571      0.026         11.666
 8.7857      0.032         15.069
 8.7143      0.038         18.423
 8.6429      0.045         21.718
 8.5714      0.051         24.943
 8.5000      0.057         28.082
 8.4286      0.063         31.110
 8.3571      0.069         33.995
 8.2857      0.075         36.679
 8.2143      0.082         39.064
 8.1429      0.088         40.944
 8.0714      0.094         41.729
 8.0000      0.100         34.773
