# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.877
 8.8571      0.026         10.277
 8.7857      0.032         12.642
 8.7143      0.038         14.967
 8.6429      0.045         17.245
 8.5714      0.051         19.467
 8.5000      0.057         21.619
 8.4286      0.063         23.684
 8.3571      0.069         25.635
 8.2857      0.075         27.429
 8.2143      0.082         28.991
 8.1429      0.088         30.169
 8.0714      0.094         30.544
 8.0000      0.100         26.972
