# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.855
 8.8571      0.026          9.349
 8.7857      0.032         10.818
 8.7143      0.038         12.259
 8.6429      0.045         13.667
 8.5714      0.051         15.034
 8.5000      0.057         16.353
 8.4286      0.063         17.610
 8.3571      0.069         18.788
 8.2857      0.075         19.859
 8.2143      0.082         20.772
 8.1429      0.088         21.435
 8.0714      0.094         21.604
 8.0000      0.100         20.101
