# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.395
 8.8571      0.026         12.147
 8.7857      0.032         15.853
 8.7143      0.038         19.505
 8.6429      0.045         23.092
 8.5714      0.051         26.601
 8.5000      0.057         30.015
 8.4286      0.063         33.308
 8.3571      0.069         36.443
 8.2857      0.075         39.358
 8.2143      0.082         41.946
 8.1429      0.088         43.983
 8.0714      0.094         44.830
 8.0000      0.100         37.447
