# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.001
 8.8571      0.026         10.792
 8.7857      0.032         13.545
 8.7143      0.038         16.253
 8.6429      0.045         18.910
 8.5714      0.051         21.504
 8.5000      0.057         24.021
 8.4286      0.063         26.441
 8.3571      0.069         28.733
 8.2857      0.075         30.850
 8.2143      0.082         32.706
 8.1429      0.088         34.128
 8.0714      0.094         34.628
 8.0000      0.100         29.975
