# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.938
 8.8571      0.026         11.697
 8.7857      0.032         15.411
 8.7143      0.038         19.071
 8.6429      0.045         22.667
 8.5714      0.051         26.186
 8.5000      0.057         29.612
 8.4286      0.063         32.918
 8.3571      0.069         36.068
 8.2857      0.075         39.001
 8.2143      0.082         41.610
 8.1429      0.088         43.675
 8.0714      0.094         44.560
 8.0000      0.100         36.963
