# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.978
 8.8571      0.026         10.637
 8.7857      0.032         13.258
 8.7143      0.038         15.838
 8.6429      0.045         18.367
 8.5714      0.051         20.835
 8.5000      0.057         23.230
 8.4286      0.063         25.531
 8.3571      0.069         27.709
 8.2857      0.075         29.719
 8.2143      0.082         31.479
 8.1429      0.088         32.821
 8.0714      0.094         33.281
 8.0000      0.100         28.946
