# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.828
 8.8571      0.026         10.133
 8.7857      0.032         12.404
 8.7143      0.038         14.637
 8.6429      0.045         16.824
 8.5714      0.051         18.957
 8.5000      0.057         21.021
 8.4286      0.063         23.001
 8.3571      0.069         24.870
 8.2857      0.075         26.587
 8.2143      0.082         28.079
 8.1429      0.088         29.200
 8.0714      0.094         29.549
 8.0000      0.100         26.225
