# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.787
 8.8571      0.026          9.198
 8.7857      0.032         10.586
 8.7143      0.038         11.946
 8.6429      0.045         13.274
 8.5714      0.051         14.562
 8.5000      0.057         15.804
 8.4286      0.063         16.986
 8.3571      0.069         18.092
 8.2857      0.075         19.095
 8.2143      0.082         19.949
 8.1429      0.088         20.567
 8.0714      0.094         20.731
 8.0000      0.100         19.471
