# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.188
 8.8571      0.026         12.681
 8.7857      0.032         15.138
 8.7143      0.038         17.553
 8.6429      0.045         19.917
 8.5714      0.051         22.221
 8.5000      0.057         24.451
 8.4286      0.063         26.588
 8.3571      0.069         28.603
 8.2857      0.075         30.450
 8.2143      0.082         32.049
 8.1429      0.088         33.237
 8.0714      0.094         33.575
 8.0000      0.100         30.056
