# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.496
 8.8571      0.026         12.723
 8.7857      0.032         16.900
 8.7143      0.038         21.019
 8.6429      0.045         25.068
 8.5714      0.051         29.033
 8.5000      0.057         32.896
 8.4286      0.063         36.627
 8.3571      0.069         40.187
 8.2857      0.075         43.509
 8.2143      0.082         46.476
 8.1429      0.088         48.840
 8.0714      0.094         49.898
 8.0000      0.100         40.942
