# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.621
 8.8571      0.026         12.378
 8.7857      0.032         16.089
 8.7143      0.038         19.745
 8.6429      0.045         23.336
 8.5714      0.051         26.849
 8.5000      0.057         30.267
 8.4286      0.063         33.563
 8.3571      0.069         36.700
 8.2857      0.075         39.616
 8.2143      0.082         42.203
 8.1429      0.088         44.236
 8.0714      0.094         45.074
 8.0000      0.100         37.720
