# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.186
 8.8571      0.026         11.491
 8.7857      0.032         14.754
 8.7143      0.038         17.967
 8.6429      0.045         21.122
 8.5714      0.051         24.206
 8.5000      0.057         27.204
 8.4286      0.063         30.091
 8.3571      0.069         32.835
 8.2857      0.075         35.380
 8.2143      0.082         37.629
 8.1429      0.088         39.380
 8.0714      0.094         40.065
 8.0000      0.100         33.933
