# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.404
 8.8571      0.026         12.208
 8.7857      0.032         15.965
 8.7143      0.038         19.667
 8.6429      0.045         23.304
 8.5714      0.051         26.863
 8.5000      0.057         30.326
 8.4286      0.063         33.668
 8.3571      0.069         36.849
 8.2857      0.075         39.809
 8.2143      0.082         42.439
 8.1429      0.088         44.512
 8.0714      0.094         45.385
 8.0000      0.100         37.813
