# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.188
 8.8571      0.026         12.687
 8.7857      0.032         15.150
 8.7143      0.038         17.570
 8.6429      0.045         19.941
 8.5714      0.051         22.252
 8.5000      0.057         24.489
 8.4286      0.063         26.633
 8.3571      0.069         28.655
 8.2857      0.075         30.510
 8.2143      0.082         32.117
 8.1429      0.088         33.314
 8.0714      0.094         33.657
 8.0000      0.100         30.056
