# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         13.005
 8.8571      0.026         13.520
 8.7857      0.032         14.024
 8.7143      0.038         14.514
 8.6429      0.045         14.990
 8.5714      0.051         15.450
 8.5000      0.057         15.892
 8.4286      0.063         16.313
 8.3571      0.069         16.710
 8.2857      0.075         17.078
 8.2143      0.082         17.414
 8.1429      0.088         17.708
 8.0714      0.094         17.952
 8.0000      0.100         18.132
