# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.049
 8.8571      0.026         11.202
 8.7857      0.032         12.335
 8.7143      0.038         13.444
 8.6429      0.045         14.524
 8.5714      0.051         15.572
 8.5000      0.057         16.578
 8.4286      0.063         17.533
 8.3571      0.069         18.423
 8.2857      0.075         19.224
 8.2143      0.082         19.899
 8.1429      0.088         20.377
 8.0714      0.094         20.492
 8.0000      0.100         19.633
