# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.213
 8.8571      0.026         11.515
 8.7857      0.032         14.773
 8.7143      0.038         17.983
 8.6429      0.045         21.134
 8.5714      0.051         24.214
 8.5000      0.057         27.208
 8.4286      0.063         30.093
 8.3571      0.069         32.833
 8.2857      0.075         35.375
 8.2143      0.082         37.622
 8.1429      0.088         39.371
 8.0714      0.094         40.055
 8.0000      0.100         33.922
