# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.474
 8.8571      0.026         12.114
 8.7857      0.032         15.709
 8.7143      0.038         19.251
 8.6429      0.045         22.730
 8.5714      0.051         26.134
 8.5000      0.057         29.444
 8.4286      0.063         32.637
 8.3571      0.069         35.675
 8.2857      0.075         38.499
 8.2143      0.082         41.004
 8.1429      0.088         42.972
 8.0714      0.094         43.779
 8.0000      0.100         36.664
