# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.468
 8.8571      0.026         12.061
 8.7857      0.032         14.613
 8.7143      0.038         17.119
 8.6429      0.045         19.571
 8.5714      0.051         21.958
 8.5000      0.057         24.264
 8.4286      0.063         26.471
 8.3571      0.069         28.548
 8.2857      0.075         30.447
 8.2143      0.082         32.086
 8.1429      0.088         33.303
 8.0714      0.094         33.663
 8.0000      0.100         30.521
